Controller name: DT6220, Controller serial number: 2073, Controller software version: 1.2d, Controller option: 0, Controller article number: 4105032, Firmware version: DT6200;V1.4f;8010079, Average type: 3, Average count: 7, Sample time: 9600 µs, Measurement rate: 104.167 Hz, 
Channel 1:, Sensor name: DL6230/ECL2, Serial number: 1439, Article number: 2303024, Range: 2000, Unit: µm, Transmission: on, Math offset (µm): 0.000, , 
Channel 2:, Sensor name: DL6230/ECL2, Serial number: 1440, Article number: 2303024, Range: 2000, Unit: µm, Transmission: on, Math offset (µm): 0.000, , 
DAQ-Start-Time:, 2022-06-23 13:24:25.902, 

Protocol Time Stamp(s), Data channel 1 (µm), Data channel 2 (µm), State channel 1
2022-06-23 13:28:32.446959,  296.94297, 2137.05266, 000000
2022-06-23 13:28:32.456559,  296.94285, 2137.05266, 000000
2022-06-23 13:28:32.466158,  296.94273, 2137.05266, 000000
2022-06-23 13:28:32.475759,  296.94273, 2137.05266, 000000
2022-06-23 13:28:32.485358,  296.94285, 2137.05266, 000000
2022-06-23 13:28:32.494958,  296.94273, 2137.05266, 000000
2022-06-23 13:28:32.504558,  296.94285, 2137.05266, 000000
2022-06-23 13:28:32.514158,  296.94285, 2137.05266, 000000
2022-06-23 13:28:32.523758,  296.94297, 2137.05266, 000000
2022-06-23 13:28:32.533358,  296.94321, 2137.05266, 000000
2022-06-23 13:28:32.542958,  296.94321, 2137.05266, 000000
2022-06-23 13:28:32.552558,  296.94356, 2137.05266, 000000
2022-06-23 13:28:32.562158,  296.94356, 2137.05266, 000000
2022-06-23 13:28:32.571758,  296.94356, 2137.05266, 000000
2022-06-23 13:28:32.581358,  296.94356, 2137.05266, 000000
2022-06-23 13:28:32.590958,  296.94380, 2137.05266, 000000
2022-06-23 13:28:32.600558,  296.94380, 2137.05266, 000000
2022-06-23 13:28:32.610158,  296.94380, 2137.05266, 000000
2022-06-23 13:28:32.619758,  296.94368, 2137.05266, 000000
2022-06-23 13:28:32.629358,  296.94368, 2137.05266, 000000
2022-06-23 13:28:32.638958,  296.94368, 2137.05266, 000000
2022-06-23 13:28:32.648558,  296.94368, 2137.05266, 000000
2022-06-23 13:28:32.658158,  296.94368, 2137.05266, 000000
2022-06-23 13:28:32.667758,  296.94368, 2137.05266, 000000
2022-06-23 13:28:32.677358,  296.94392, 2137.05266, 000000
2022-06-23 13:28:32.686958,  296.94392, 2137.05266, 000000
2022-06-23 13:28:32.696558,  296.94368, 2137.05266, 000000
2022-06-23 13:28:32.706158,  296.94368, 2137.05266, 000000
2022-06-23 13:28:32.715758,  296.94380, 2137.05266, 000000
2022-06-23 13:28:32.725358,  296.94380, 2137.05266, 000000
2022-06-23 13:28:32.734958,  296.94332, 2137.05266, 000000
2022-06-23 13:28:32.744558,  296.94321, 2137.05266, 000000
2022-06-23 13:28:32.754158,  296.94332, 2137.05266, 000000
2022-06-23 13:28:32.763758,  296.94356, 2137.05266, 000000
2022-06-23 13:28:32.773358,  296.94356, 2137.05266, 000000
2022-06-23 13:28:32.782958,  296.94332, 2137.05266, 000000
2022-06-23 13:28:32.792558,  296.94356, 2137.05266, 000000
2022-06-23 13:28:32.802158,  296.94356, 2137.05266, 000000
2022-06-23 13:28:32.811758,  296.94368, 2137.05266, 000000
2022-06-23 13:28:32.821358,  296.94380, 2137.05266, 000000
2022-06-23 13:28:32.830958,  296.94404, 2137.05266, 000000
2022-06-23 13:28:32.840558,  296.94380, 2137.05266, 000000
2022-06-23 13:28:32.850158,  296.94380, 2137.05266, 000000
2022-06-23 13:28:32.859758,  296.94380, 2137.05266, 000000
2022-06-23 13:28:32.869358,  296.94404, 2137.05266, 000000
2022-06-23 13:28:32.878958,  296.94380, 2137.05266, 000000
2022-06-23 13:28:32.888558,  296.94356, 2137.05266, 000000
2022-06-23 13:28:32.898158,  296.94344, 2137.05266, 000000
2022-06-23 13:28:32.907758,  296.94356, 2137.05266, 000000
2022-06-23 13:28:32.917358,  296.94356, 2137.05266, 000000
2022-06-23 13:28:32.926958,  296.94344, 2137.05266, 000000
2022-06-23 13:28:32.936558,  296.94344, 2137.05266, 000000
2022-06-23 13:28:32.946157,  296.94344, 2137.05266, 000000
2022-06-23 13:28:32.955758,  296.94344, 2137.05266, 000000
2022-06-23 13:28:32.965357,  296.94344, 2137.05266, 000000
2022-06-23 13:28:32.974957,  296.94321, 2137.05266, 000000
2022-06-23 13:28:32.984557,  296.94344, 2137.05266, 000000
2022-06-23 13:28:32.994158,  296.94356, 2137.05266, 000000
2022-06-23 13:28:33.003757,  296.94380, 2137.05266, 000000
2022-06-23 13:28:33.013357,  296.94321, 2137.05266, 000000
2022-06-23 13:28:33.022957,  296.94368, 2137.05266, 000000
2022-06-23 13:28:33.032557,  296.94380, 2137.05266, 000000
2022-06-23 13:28:33.042157,  296.94392, 2137.05266, 000000
2022-06-23 13:28:33.051757,  296.94392, 2137.05266, 000000
2022-06-23 13:28:33.061357,  296.94392, 2137.05266, 000000
2022-06-23 13:28:33.070957,  296.94368, 2137.05266, 000000
2022-06-23 13:28:33.080557,  296.94368, 2137.05266, 000000
2022-06-23 13:28:33.090157,  296.94356, 2137.05266, 000000
2022-06-23 13:28:33.099757,  296.94356, 2137.05266, 000000
2022-06-23 13:28:33.109357,  296.94344, 2137.05266, 000000
2022-06-23 13:28:33.118957,  296.94332, 2137.05266, 000000
2022-06-23 13:28:33.128557,  296.94344, 2137.05266, 000000
2022-06-23 13:28:33.138157,  296.94332, 2137.05266, 000000
2022-06-23 13:28:33.147757,  296.94332, 2137.05266, 000000
2022-06-23 13:28:33.157357,  296.94344, 2137.05266, 000000
2022-06-23 13:28:33.166957,  296.94392, 2137.05266, 000000
2022-06-23 13:28:33.176557,  296.94392, 2137.05266, 000000
2022-06-23 13:28:33.186157,  296.94392, 2137.05266, 000000
2022-06-23 13:28:33.195757,  296.94380, 2137.05266, 000000
2022-06-23 13:28:33.205357,  296.94380, 2137.05266, 000000
2022-06-23 13:28:33.214957,  296.94344, 2137.05266, 000000
2022-06-23 13:28:33.224557,  296.94332, 2137.05266, 000000
2022-06-23 13:28:33.234157,  296.94273, 2137.05266, 000000
2022-06-23 13:28:33.243757,  296.94332, 2137.05266, 000000
2022-06-23 13:28:33.253357,  296.94332, 2137.05266, 000000
2022-06-23 13:28:33.262957,  296.94273, 2137.05266, 000000
2022-06-23 13:28:33.272557,  296.94273, 2137.05266, 000000
2022-06-23 13:28:33.282157,  296.94273, 2137.05266, 000000
2022-06-23 13:28:33.291757,  296.94273, 2137.05266, 000000
2022-06-23 13:28:33.301357,  296.94273, 2137.05266, 000000
2022-06-23 13:28:33.310957,  296.94273, 2137.05266, 000000
2022-06-23 13:28:33.320557,  296.94321, 2137.05266, 000000
2022-06-23 13:28:33.330157,  296.94368, 2137.05266, 000000
2022-06-23 13:28:33.339757,  296.94368, 2137.05266, 000000
2022-06-23 13:28:33.349357,  296.94368, 2137.05266, 000000
2022-06-23 13:28:33.358957,  296.94368, 2137.05266, 000000
2022-06-23 13:28:33.368557,  296.94368, 2137.05266, 000000
2022-06-23 13:28:33.378157,  296.94344, 2137.05266, 000000
2022-06-23 13:28:33.387757,  296.94344, 2137.05266, 000000
2022-06-23 13:28:33.397357,  296.94344, 2137.05266, 000000
2022-06-23 13:28:33.406957,  296.94344, 2137.05266, 000000
2022-06-23 13:28:33.416557,  296.94344, 2137.05266, 000000
2022-06-23 13:28:33.426157,  296.94344, 2137.05266, 000000
