Controller name: DT6220, Controller serial number: 2073, Controller software version: 1.2d, Controller option: 0, Controller article number: 4105032, Firmware version: DT6200;V1.4f;8010079, Average type: 3, Average count: 7, Sample time: 9600 µs, Measurement rate: 104.167 Hz, 
Channel 1:, Sensor name: DL6230/ECL2, Serial number: 1439, Article number: 2303024, Range: 2000, Unit: µm, Transmission: on, Math offset (µm): 0.000, , 
Channel 2:, Sensor name: DL6230/ECL2, Serial number: 1440, Article number: 2303024, Range: 2000, Unit: µm, Transmission: on, Math offset (µm): 0.000, , 
DAQ-Start-Time:, 2022-07-06 13:29:14.617, 

Protocol Time Stamp(s), Data channel 1 (µm), Data channel 2 (µm), State channel 1
2022-07-06 13:29:22.077016, 1161.55095, 2137.05266, 000000
2022-07-06 13:29:22.086616, 1161.54904, 2137.05266, 000000
2022-07-06 13:29:22.096216, 1161.54904, 2137.05266, 000000
2022-07-06 13:29:22.105816, 1161.55011, 2137.05266, 000000
2022-07-06 13:29:22.115416, 1161.55095, 2137.05266, 000000
2022-07-06 13:29:22.125016, 1161.55011, 2137.05266, 000000
2022-07-06 13:29:22.134616, 1161.55011, 2137.05266, 000000
2022-07-06 13:29:22.144216, 1161.55011, 2137.05266, 000000
2022-07-06 13:29:22.153816, 1161.55011, 2137.05266, 000000
2022-07-06 13:29:22.163416, 1161.55011, 2137.05266, 000000
2022-07-06 13:29:22.173016, 1161.54988, 2137.05266, 000000
2022-07-06 13:29:22.182616, 1161.54928, 2137.05266, 000000
2022-07-06 13:29:22.192216, 1161.54928, 2137.05266, 000000
2022-07-06 13:29:22.201816, 1161.54952, 2137.05266, 000000
2022-07-06 13:29:22.211416, 1161.54988, 2137.05266, 000000
2022-07-06 13:29:22.221016, 1161.54988, 2137.05266, 000000
2022-07-06 13:29:22.230615, 1161.54952, 2137.05266, 000000
2022-07-06 13:29:22.240216, 1161.54952, 2137.05266, 000000
2022-07-06 13:29:22.249815, 1161.55000, 2137.05266, 000000
2022-07-06 13:29:22.259416, 1161.55059, 2137.05266, 000000
2022-07-06 13:29:22.269015, 1161.55059, 2137.05266, 000000
2022-07-06 13:29:22.278615, 1161.54988, 2137.05266, 000000
2022-07-06 13:29:22.288216, 1161.54988, 2137.05266, 000000
2022-07-06 13:29:22.297815, 1161.55107, 2137.05266, 000000
2022-07-06 13:29:22.307415, 1161.55107, 2137.05266, 000000
2022-07-06 13:29:22.317015, 1161.54988, 2137.05266, 000000
2022-07-06 13:29:22.326616, 1161.54940, 2137.05266, 000000
2022-07-06 13:29:22.336215, 1161.54892, 2137.05266, 000000
2022-07-06 13:29:22.345815, 1161.54833, 2137.05266, 000000
2022-07-06 13:29:22.355415, 1161.54940, 2137.05266, 000000
2022-07-06 13:29:22.365015, 1161.54833, 2137.05266, 000000
2022-07-06 13:29:22.374615, 1161.54833, 2137.05266, 000000
2022-07-06 13:29:22.384215, 1161.54833, 2137.05266, 000000
2022-07-06 13:29:22.393815, 1161.54725, 2137.05266, 000000
2022-07-06 13:29:22.403415, 1161.54833, 2137.05266, 000000
2022-07-06 13:29:22.413015, 1161.54892, 2137.05266, 000000
2022-07-06 13:29:22.422615, 1161.54892, 2137.05266, 000000
2022-07-06 13:29:22.432215, 1161.54928, 2137.05266, 000000
2022-07-06 13:29:22.441815, 1161.54892, 2137.05266, 000000
2022-07-06 13:29:22.451415, 1161.54892, 2137.05266, 000000
2022-07-06 13:29:22.461015, 1161.54892, 2137.05266, 000000
2022-07-06 13:29:22.470615, 1161.54904, 2137.05266, 000000
2022-07-06 13:29:22.480215, 1161.54904, 2137.05266, 000000
2022-07-06 13:29:22.489815, 1161.54856, 2137.05266, 000000
2022-07-06 13:29:22.499415, 1161.54856, 2137.05266, 000000
2022-07-06 13:29:22.509015, 1161.54856, 2137.05266, 000000
2022-07-06 13:29:22.518615, 1161.54880, 2137.05266, 000000
2022-07-06 13:29:22.528215, 1161.54904, 2137.05266, 000000
2022-07-06 13:29:22.537815, 1161.54940, 2137.05266, 000000
2022-07-06 13:29:22.547415, 1161.54940, 2137.05266, 000000
2022-07-06 13:29:22.557015, 1161.55059, 2137.05266, 000000
2022-07-06 13:29:22.566615, 1161.55107, 2137.05266, 000000
2022-07-06 13:29:22.576215, 1161.55107, 2137.05266, 000000
2022-07-06 13:29:22.585815, 1161.55059, 2137.05266, 000000
2022-07-06 13:29:22.595415, 1161.55059, 2137.05266, 000000
2022-07-06 13:29:22.605015, 1161.55035, 2137.05266, 000000
2022-07-06 13:29:22.614615, 1161.55035, 2137.05266, 000000
2022-07-06 13:29:22.624215, 1161.55035, 2137.05266, 000000
2022-07-06 13:29:22.633815, 1161.55011, 2137.05266, 000000
2022-07-06 13:29:22.643415, 1161.55011, 2137.05266, 000000
2022-07-06 13:29:22.653015, 1161.55035, 2137.05266, 000000
2022-07-06 13:29:22.662615, 1161.55035, 2137.05266, 000000
2022-07-06 13:29:22.672215, 1161.55035, 2137.05266, 000000
2022-07-06 13:29:22.681815, 1161.55107, 2137.05266, 000000
2022-07-06 13:29:22.691415, 1161.55011, 2137.05266, 000000
2022-07-06 13:29:22.701015, 1161.55119, 2137.05266, 000000
2022-07-06 13:29:22.710614, 1161.55119, 2137.05266, 000000
2022-07-06 13:29:22.720215, 1161.54952, 2137.05266, 000000
2022-07-06 13:29:22.729815, 1161.54952, 2137.05266, 000000
2022-07-06 13:29:22.739414, 1161.54952, 2137.05266, 000000
2022-07-06 13:29:22.749014, 1161.54952, 2137.05266, 000000
2022-07-06 13:29:22.758615, 1161.55047, 2137.05266, 000000
2022-07-06 13:29:22.768215, 1161.54952, 2137.05266, 000000
2022-07-06 13:29:22.777814, 1161.55047, 2137.05266, 000000
2022-07-06 13:29:22.787415, 1161.55107, 2137.05266, 000000
2022-07-06 13:29:22.797014, 1161.55047, 2137.05266, 000000
2022-07-06 13:29:22.806614, 1161.55047, 2137.05266, 000000
2022-07-06 13:29:22.816214, 1161.54940, 2137.05266, 000000
2022-07-06 13:29:22.825814, 1161.54940, 2137.05266, 000000
2022-07-06 13:29:22.835414, 1161.54952, 2137.05266, 000000
2022-07-06 13:29:22.845014, 1161.54940, 2137.05266, 000000
2022-07-06 13:29:22.854614, 1161.54940, 2137.05266, 000000
2022-07-06 13:29:22.864214, 1161.54952, 2137.05266, 000000
2022-07-06 13:29:22.873814, 1161.54952, 2137.05266, 000000
2022-07-06 13:29:22.883414, 1161.54952, 2137.05266, 000000
2022-07-06 13:29:22.893014, 1161.54952, 2137.05266, 000000
2022-07-06 13:29:22.902614, 1161.54988, 2137.05266, 000000
2022-07-06 13:29:22.912214, 1161.54988, 2137.05266, 000000
2022-07-06 13:29:22.921814, 1161.54988, 2137.05266, 000000
2022-07-06 13:29:22.931414, 1161.54809, 2137.05266, 000000
2022-07-06 13:29:22.941014, 1161.55131, 2137.05266, 000000
2022-07-06 13:29:22.950614, 1161.54809, 2137.05266, 000000
