Controller name: DT6220, Controller serial number: 2073, Controller software version: 1.2d, Controller option: 0, Controller article number: 4105032, Firmware version: DT6200;V1.4f;8010079, Average type: 3, Average count: 7, Sample time: 9600 µs, Measurement rate: 104.167 Hz, 
Channel 1:, Sensor name: DL6230/ECL2, Serial number: 1439, Article number: 2303024, Range: 2000, Unit: µm, Transmission: on, Math offset (µm): 0.000, , 
Channel 2:, Sensor name: DL6230/ECL2, Serial number: 1440, Article number: 2303024, Range: 2000, Unit: µm, Transmission: on, Math offset (µm): 0.000, , 
DAQ-Start-Time:, 2022-07-12 15:18:17.396, 

Protocol Time Stamp(s), Data channel 1 (µm), Data channel 2 (µm), State channel 1
2022-07-12 15:20:22.341095, 1859.35139, 2137.05266, 000000
2022-07-12 15:20:22.350695, 1859.35282, 2137.05266, 000000
2022-07-12 15:20:22.360295, 1859.35115, 2137.05266, 000000
2022-07-12 15:20:22.369895, 1859.35115, 2137.05266, 000000
2022-07-12 15:20:22.379495, 1859.35115, 2137.05266, 000000
2022-07-12 15:20:22.389095, 1859.35115, 2137.05266, 000000
2022-07-12 15:20:22.398695, 1859.35115, 2137.05266, 000000
2022-07-12 15:20:22.408295, 1859.35282, 2137.05266, 000000
2022-07-12 15:20:22.417895, 1859.35008, 2137.05266, 000000
2022-07-12 15:20:22.427495, 1859.35091, 2137.05266, 000000
2022-07-12 15:20:22.437095, 1859.35008, 2137.05266, 000000
2022-07-12 15:20:22.446695, 1859.34877, 2137.05266, 000000
2022-07-12 15:20:22.456295, 1859.35008, 2137.05266, 000000
2022-07-12 15:20:22.465895, 1859.35067, 2137.05266, 000000
2022-07-12 15:20:22.475495, 1859.35008, 2137.05266, 000000
2022-07-12 15:20:22.485095, 1859.35032, 2137.05266, 000000
2022-07-12 15:20:22.494695, 1859.35032, 2137.05266, 000000
2022-07-12 15:20:22.504295, 1859.35032, 2137.05266, 000000
2022-07-12 15:20:22.513895, 1859.35067, 2137.05266, 000000
2022-07-12 15:20:22.523495, 1859.35032, 2137.05266, 000000
2022-07-12 15:20:22.533095, 1859.34996, 2137.05266, 000000
2022-07-12 15:20:22.542695, 1859.35032, 2137.05266, 000000
2022-07-12 15:20:22.552295, 1859.34996, 2137.05266, 000000
2022-07-12 15:20:22.561894, 1859.34996, 2137.05266, 000000
2022-07-12 15:20:22.571495, 1859.35079, 2137.05266, 000000
2022-07-12 15:20:22.581095, 1859.35139, 2137.05266, 000000
2022-07-12 15:20:22.590695, 1859.35246, 2137.05266, 000000
2022-07-12 15:20:22.600295, 1859.35246, 2137.05266, 000000
2022-07-12 15:20:22.609895, 1859.35139, 2137.05266, 000000
2022-07-12 15:20:22.619495, 1859.35139, 2137.05266, 000000
2022-07-12 15:20:22.629095, 1859.34972, 2137.05266, 000000
2022-07-12 15:20:22.638695, 1859.34972, 2137.05266, 000000
2022-07-12 15:20:22.648294, 1859.34972, 2137.05266, 000000
2022-07-12 15:20:22.657895, 1859.34972, 2137.05266, 000000
2022-07-12 15:20:22.667494, 1859.35079, 2137.05266, 000000
2022-07-12 15:20:22.677094, 1859.35079, 2137.05266, 000000
2022-07-12 15:20:22.686694, 1859.35079, 2137.05266, 000000
2022-07-12 15:20:22.696295, 1859.35079, 2137.05266, 000000
2022-07-12 15:20:22.705894, 1859.34829, 2137.05266, 000000
2022-07-12 15:20:22.715494, 1859.34757, 2137.05266, 000000
2022-07-12 15:20:22.725094, 1859.34757, 2137.05266, 000000
2022-07-12 15:20:22.734694, 1859.34757, 2137.05266, 000000
2022-07-12 15:20:22.744294, 1859.34757, 2137.05266, 000000
2022-07-12 15:20:22.753894, 1859.34829, 2137.05266, 000000
2022-07-12 15:20:22.763494, 1859.35234, 2137.05266, 000000
2022-07-12 15:20:22.773094, 1859.35234, 2137.05266, 000000
2022-07-12 15:20:22.782694, 1859.35234, 2137.05266, 000000
2022-07-12 15:20:22.792294, 1859.35055, 2137.05266, 000000
2022-07-12 15:20:22.801894, 1859.35055, 2137.05266, 000000
2022-07-12 15:20:22.811494, 1859.35330, 2137.05266, 000000
2022-07-12 15:20:22.821094, 1859.35163, 2137.05266, 000000
