Controller name: DT6220, Controller serial number: 2073, Controller software version: 1.2d, Controller option: 0, Controller article number: 4105032, Firmware version: DT6200;V1.4f;8010079, Average type: 3, Average count: 7, Sample time: 9600 µs, Measurement rate: 104.167 Hz, 
Channel 1:, Sensor name: DL6230/ECL2, Serial number: 1439, Article number: 2303024, Range: 2000, Unit: µm, Transmission: on, Math offset (µm): 0.000, , 
Channel 2:, Sensor name: DL6230/ECL2, Serial number: 1440, Article number: 2303024, Range: 2000, Unit: µm, Transmission: on, Math offset (µm): 0.000, , 
DAQ-Start-Time:, 2022-06-17 10:34:14.227, 

Protocol Time Stamp(s), Data channel 1 (µm), Data channel 2 (µm), State channel 1
2022-06-17 11:47:13.268834,  351.93290, 2137.05266, 000000
2022-06-17 11:47:13.278434,  351.93267, 2137.05266, 000000
2022-06-17 11:47:13.288034,  351.93243, 2137.05266, 000000
2022-06-17 11:47:13.297634,  351.93195, 2137.05266, 000000
2022-06-17 11:47:13.307234,  351.93135, 2137.05266, 000000
2022-06-17 11:47:13.316834,  351.93064, 2137.05266, 000000
2022-06-17 11:47:13.326434,  351.93064, 2137.05266, 000000
2022-06-17 11:47:13.336034,  351.93064, 2137.05266, 000000
2022-06-17 11:47:13.345634,  351.93064, 2137.05266, 000000
2022-06-17 11:47:13.355234,  351.93064, 2137.05266, 000000
2022-06-17 11:47:13.364834,  351.93124, 2137.05266, 000000
2022-06-17 11:47:13.374434,  351.93124, 2137.05266, 000000
2022-06-17 11:47:13.384034,  351.93124, 2137.05266, 000000
2022-06-17 11:47:13.393634,  351.93124, 2137.05266, 000000
2022-06-17 11:47:13.403234,  351.93100, 2137.05266, 000000
2022-06-17 11:47:13.412834,  351.93076, 2137.05266, 000000
2022-06-17 11:47:13.422434,  351.93100, 2137.05266, 000000
2022-06-17 11:47:13.432034,  351.93100, 2137.05266, 000000
2022-06-17 11:47:13.441634,  351.93100, 2137.05266, 000000
2022-06-17 11:47:13.451234,  351.93100, 2137.05266, 000000
2022-06-17 11:47:13.460834,  351.93207, 2137.05266, 000000
2022-06-17 11:47:13.470434,  351.93207, 2137.05266, 000000
2022-06-17 11:47:13.480034,  351.93207, 2137.05266, 000000
2022-06-17 11:47:13.489634,  351.93088, 2137.05266, 000000
2022-06-17 11:47:13.499234,  351.93088, 2137.05266, 000000
2022-06-17 11:47:13.508834,  351.93231, 2137.05266, 000000
2022-06-17 11:47:13.518434,  351.93231, 2137.05266, 000000
2022-06-17 11:47:13.528034,  351.93088, 2137.05266, 000000
2022-06-17 11:47:13.537634,  351.93088, 2137.05266, 000000
2022-06-17 11:47:13.547234,  351.93159, 2137.05266, 000000
2022-06-17 11:47:13.556834,  351.93159, 2137.05266, 000000
2022-06-17 11:47:13.566434,  351.93159, 2137.05266, 000000
2022-06-17 11:47:13.576034,  351.93159, 2137.05266, 000000
2022-06-17 11:47:13.585634,  351.93112, 2137.05266, 000000
2022-06-17 11:47:13.595234,  351.93159, 2137.05266, 000000
2022-06-17 11:47:13.604834,  351.93159, 2137.05266, 000000
2022-06-17 11:47:13.614434,  351.93159, 2137.05266, 000000
2022-06-17 11:47:13.624034,  351.93159, 2137.05266, 000000
2022-06-17 11:47:13.633634,  351.93124, 2137.05266, 000000
2022-06-17 11:47:13.643234,  351.93112, 2137.05266, 000000
2022-06-17 11:47:13.652833,  351.93100, 2137.05266, 000000
2022-06-17 11:47:13.662434,  351.93100, 2137.05266, 000000
2022-06-17 11:47:13.672034,  351.93100, 2137.05266, 000000
2022-06-17 11:47:13.681633,  351.93124, 2137.05266, 000000
2022-06-17 11:47:13.691233,  351.93207, 2137.05266, 000000
2022-06-17 11:47:13.700834,  351.93207, 2137.05266, 000000
2022-06-17 11:47:13.710433,  351.93219, 2137.05266, 000000
2022-06-17 11:47:13.720033,  351.93231, 2137.05266, 000000
2022-06-17 11:47:13.729633,  351.93255, 2137.05266, 000000
2022-06-17 11:47:13.739233,  351.93255, 2137.05266, 000000
2022-06-17 11:47:13.748833,  351.93231, 2137.05266, 000000
2022-06-17 11:47:13.758433,  351.93219, 2137.05266, 000000
2022-06-17 11:47:13.768033,  351.93255, 2137.05266, 000000
2022-06-17 11:47:13.777633,  351.93267, 2137.05266, 000000
2022-06-17 11:47:13.787233,  351.93267, 2137.05266, 000000
2022-06-17 11:47:13.796833,  351.93267, 2137.05266, 000000
2022-06-17 11:47:13.806433,  351.93267, 2137.05266, 000000
2022-06-17 11:47:13.816033,  351.93267, 2137.05266, 000000
2022-06-17 11:47:13.825633,  351.93267, 2137.05266, 000000
2022-06-17 11:47:13.835233,  351.93279, 2137.05266, 000000
2022-06-17 11:47:13.844833,  351.93207, 2137.05266, 000000
2022-06-17 11:47:13.854433,  351.93207, 2137.05266, 000000
2022-06-17 11:47:13.864033,  351.93195, 2137.05266, 000000
2022-06-17 11:47:13.873633,  351.93207, 2137.05266, 000000
2022-06-17 11:47:13.883233,  351.93219, 2137.05266, 000000
2022-06-17 11:47:13.892833,  351.93219, 2137.05266, 000000
2022-06-17 11:47:13.902433,  351.93219, 2137.05266, 000000
2022-06-17 11:47:13.912033,  351.93219, 2137.05266, 000000
2022-06-17 11:47:13.921633,  351.93219, 2137.05266, 000000
2022-06-17 11:47:13.931233,  351.93219, 2137.05266, 000000
2022-06-17 11:47:13.940833,  351.93219, 2137.05266, 000000
2022-06-17 11:47:13.950433,  351.93195, 2137.05266, 000000
2022-06-17 11:47:13.960033,  351.93135, 2137.05266, 000000
2022-06-17 11:47:13.969633,  351.93135, 2137.05266, 000000
2022-06-17 11:47:13.979233,  351.93135, 2137.05266, 000000
2022-06-17 11:47:13.988833,  351.93135, 2137.05266, 000000
2022-06-17 11:47:13.998433,  351.93135, 2137.05266, 000000
2022-06-17 11:47:14.008033,  351.93135, 2137.05266, 000000
2022-06-17 11:47:14.017633,  351.93135, 2137.05266, 000000
2022-06-17 11:47:14.027233,  351.93100, 2137.05266, 000000
2022-06-17 11:47:14.036833,  351.93100, 2137.05266, 000000
2022-06-17 11:47:14.046433,  351.93100, 2137.05266, 000000
2022-06-17 11:47:14.056033,  351.93100, 2137.05266, 000000
2022-06-17 11:47:14.065633,  351.93100, 2137.05266, 000000
2022-06-17 11:47:14.075233,  351.93147, 2137.05266, 000000
2022-06-17 11:47:14.084832,  351.93147, 2137.05266, 000000
2022-06-17 11:47:14.094433,  351.93147, 2137.05266, 000000
2022-06-17 11:47:14.104033,  351.93112, 2137.05266, 000000
2022-06-17 11:47:14.113633,  351.93147, 2137.05266, 000000
2022-06-17 11:47:14.123232,  351.93147, 2137.05266, 000000
2022-06-17 11:47:14.132833,  351.93147, 2137.05266, 000000
2022-06-17 11:47:14.142432,  351.93112, 2137.05266, 000000
2022-06-17 11:47:14.152032,  351.93219, 2137.05266, 000000
2022-06-17 11:47:14.161632,  351.93243, 2137.05266, 000000
2022-06-17 11:47:14.171232,  351.93267, 2137.05266, 000000
